id,bone_length,rotting_flesh,hair_length,has_soul,color,type
0,0.354512185,0.350839027,0.465760892,0.781141666,0.4,Ghoul
1,0.575559905,0.425868432,0.531401379,0.439898877,0.8,Goblin
2,0.467875499,0.35433042,0.81161609,0.791224973,0.2,Ghoul
4,0.776652461,0.50872255,0.63676558,0.884463692,0.2,Ghoul
5,0.566116602,0.875861796,0.418593671,0.636437819,0.8,Ghost
7,0.405679745,0.253277497,0.441419671,0.28032382,0.8,Goblin
8,0.399330851,0.568951767,0.61839102,0.467900835,0,Goblin
11,0.516223898,0.536428746,0.612776147,0.46804827,0.4,Ghoul
12,0.314295276,0.67127969,0.417266917,0.227547575,0.6,Ghost
19,0.280941744,0.701457493,0.179633295,0.141182651,0,Ghost
22,0.431685213,0.438959273,0.239212488,0.471819563,0.4,Goblin
23,0.584543226,0.593081936,0.681165762,0.935721333,0.4,Ghoul
25,0.390712129,0.335069397,0.556109462,0.78421658,0,Ghoul
27,0.351558672,0.471078172,0.484457782,0.46532788,0.2,Goblin
28,0.513387221,0.301344762,0.745675565,0.545792299,0.4,Goblin
29,0.500196552,0.438418145,0.532529815,0.66552243,0.4,Ghoul
30,0.25077,0.246257686,0.554654442,0.250035519,0.2,Ghost
31,0.585559317,0.585938619,1,0.70869175,0.2,Ghoul
32,0.605835956,0.587943179,0.529361249,0.526717647,0.6,Ghoul
34,0.52408038,0.750988138,0.524637024,0.443358343,0.8,Ghost
35,0.503164058,0.464055334,0.497782803,0.472031049,0.4,Goblin
36,0.472603294,0.427150545,0.590130191,0.356488233,0,Ghoul
37,0.374448574,0.384183131,0.675868361,0.414700334,0.4,Goblin
39,0.343349606,0.397450026,0.478876024,0.621822883,0,Ghoul
45,0.6872555,0.301576168,0.761948731,0.513778731,0.4,Ghoul
47,0.229009905,0.567313298,0.373743419,0.329635881,0,Ghost
54,0.388500548,0.342305849,0.669627291,0.538648669,0.4,Goblin
56,0.492438103,0.623197269,0.60487912,0.376141524,0.8,Goblin
58,0.411662695,0.454075466,0.408097153,0.432921141,0,Goblin
62,0.304197786,0.266904231,0.527224882,0.386713412,0.4,Goblin
69,0.672977064,0.620478554,0.435714477,0.328716585,0.4,Ghoul
70,0.465093948,0.439323249,0.249337106,0.19738179,0.8,Ghost
71,0.554509599,0.630669396,0.592484227,0.615364313,0,Goblin
72,0.523728562,0.318482781,0.33014564,0.427402087,0.8,Goblin
73,0.558196077,0.580362723,0.772734368,0.370740333,0.2,Ghoul
75,0.45637104,0.456207522,0.23633154,0.300485733,0.6,Ghost
79,0.394958195,0.573941182,0.479094152,0.482692687,0,Ghost
80,0.63634677,0.501060729,0.73779537,0.695588753,0.4,Ghoul
82,0.564281757,0.419500133,0.682930707,0.47269004,0,Ghoul
84,0.288050098,0.603779721,0.473956164,0.408293823,0.2,Ghost
85,0.415109696,0.434616039,0.707469245,0.526318896,0,Ghoul
86,0.456935156,0.627141209,0.463793647,0.436216053,0.2,Ghost
88,0.534266353,0.569504492,0.506610932,0.268315466,0,Ghost
89,0.384957975,0.615731644,0.569544623,0.455284777,0.2,Goblin
90,0.314142877,0.421751401,0.690888955,0.435244949,0,Ghoul
91,0.287193186,0.530852463,0.466724945,0.299992706,0.8,Goblin
93,0.481716359,0.527250821,0.740269881,0.700856905,1,Ghoul
94,0.268141288,0.66522392,0.234943832,0.32162261,0.4,Ghost
95,0.362887107,0.648724885,0.631183773,0.445045479,0.4,Goblin
96,0.295229142,0.331809379,0.586854066,0.490878794,0.4,Goblin
103,0.571618769,0.431954749,0.641309429,0.462294882,0.2,Ghoul
107,0.495467056,0.55187735,0.809329842,0.907712135,0.8,Ghoul
109,0.445131717,0.932466095,0.218731542,0.043321201,0.4,Ghost
111,0.627652366,0.840049257,0.414816063,0.488617208,0.8,Goblin
113,0.397258026,0.672984805,0.551664338,0.159367004,0,Ghost
115,0.67851874,0.476821003,0.477151808,0.489357859,0.6,Goblin
118,0.304301526,0.463014724,0.385386856,0.219312528,0.4,Ghost
119,0.515274984,0.582627187,0.568721185,0.534078616,0.4,Goblin
125,0.504236485,0.62075809,0.341074414,0.348578263,0.2,Ghost
128,0.512676686,0.417473779,0.678072186,0.79633237,0,Ghoul
129,0.622413651,0.497614115,0.465418694,0.459140755,0.4,Goblin
130,0.208625174,0.519235145,0.619558747,0.29213102,0.8,Goblin
131,0.75350514,0.511412986,0.68497944,0.501543666,0,Ghoul
133,0.490987768,0.545144562,0.492527032,0.302301205,0.2,Goblin
141,0.665431972,0.564869781,0.59598811,0.647141562,0,Ghoul
142,0.60963426,0.64603696,0.243755281,0.348239947,0.2,Ghost
143,0.424968993,0.240298713,0.338677867,0.088924471,0,Ghost
155,0.644175554,0.593844072,0.728079053,0.561781959,0.4,Ghoul
157,0.311418216,0.815466055,0.461067606,0.127148601,0.2,Ghost
159,0.227532091,0.491082128,0.616846508,0.480046033,0.2,Ghoul
161,0.315276033,0.587052766,0.446189317,0.800853256,0,Ghoul
162,0.39076916,0.801720579,0.205236326,0.12787688,0,Ghost
163,0.348991424,0.564232996,0.481190401,0.177172419,0,Ghost
165,0.510242171,0.403365068,0.690410496,0.479525273,0.8,Ghoul
168,0.586177299,0.469534272,0.764311803,0.280853694,0,Ghoul
170,0.480836001,0.407930152,0.539004585,0.495069123,0.4,Goblin
172,0.498336385,0.374374392,0.579925796,0.511726043,0.4,Goblin
174,0.237045747,0.634643421,0.290655319,0.304283101,0,Ghost
175,0.631327203,0.411749249,0.707608891,0.769455387,0.4,Ghoul
176,0.501305752,0.536995382,0.631199148,0.591106457,0.4,Ghoul
177,0.518559889,0.808513693,0.323920618,0.574505471,0,Ghost
180,0.486970169,0.511616615,0.365142044,0.171539182,0,Ghost
185,0.516813802,0.463707575,0.321866651,0.009401616,0.8,Ghost
186,0.485801815,0.571907853,0.656527639,0.465084501,0.2,Goblin
189,0.375196695,0.742953257,0.320764367,0.243439507,0.6,Ghost
192,0.344086856,0.24466194,0.529963478,0.377121423,0.4,Goblin
193,0.514716605,0.446317803,0.622488927,0.782699035,0,Ghoul
194,0.464590986,0.715400807,0.623505783,0.296506283,0.2,Goblin
195,0.521779901,0.27762732,0.701214441,0.567563325,0.4,Ghoul
197,0.600897867,0.411729584,0.717727298,0.531640559,0,Ghoul
199,0.19707066,0.455686333,0.451489572,0.417515674,0.4,Ghost
204,0.350838082,0.454636954,0.783000891,0.674478604,0.4,Ghoul
205,0.378811035,0.347287499,0.664434277,0.504178837,0.4,Goblin
206,0.440696347,0.408872197,0.541966048,0.569011164,0,Ghoul
208,0.619468011,0.465613726,0.367913923,0.535857741,0.2,Goblin
215,0.58030252,0.179727083,0.515926684,0.623419056,0.4,Goblin
216,0.341538879,0.689139481,0.313947967,0.055464023,0.2,Ghost
218,0.365436707,0.513115391,0.46803745,0.546090074,0.8,Goblin
219,0.431500799,0.349554897,0.468936453,0.19441331,0,Goblin
222,0.313506214,0.616803007,0.396481921,0.447946145,0.6,Ghost
224,0.471764497,0.801465002,0.230619062,0.285066555,0.2,Ghost
226,0.207873848,0.545293678,0.357987382,0.484054634,0.4,Ghost
227,0.318316196,0.661752001,0.476468657,0.233135578,0.8,Ghost
229,0.305942895,0.287522815,0.336710712,0.318032718,0,Goblin
230,0.252512822,0.479092833,0.658847086,0.330915224,0,Goblin
233,0.5198274,0.568441022,0.434171231,0.351850954,0.4,Ghost
237,0.45075932,0.542648675,0.7952066,0.739428522,0,Ghoul
247,0.452740805,0.38413261,0.305593559,0.371807476,0.6,Goblin
258,0.440854689,0.4327104,0.64398887,0.322235571,0,Goblin
261,0.496733977,0.532486485,0.70970835,0.649007265,0.4,Ghoul
262,0.298797115,0.553370275,0.306682343,0.360853467,0,Ghost
263,0.476730023,0.242419542,0.294214304,0.317795313,0.2,Goblin
264,0.532590108,0.375697548,0.55382748,0.67940316,0.4,Ghoul
265,0.317938293,0.652679852,0.390056746,0.293631665,0.8,Ghost
266,0.489132393,0.481303984,0.482691352,0.460080682,0,Goblin
268,0.480941183,0.742554747,0.329061195,0.429933024,0,Ghost
272,0.365032201,0.524358156,0.328400136,0.325906187,0,Ghost
282,0.45386919,0.259701032,0.581400352,0.567842898,1,Goblin
283,0.295575435,0.433779489,0.462628584,0.036457222,0.4,Ghost
285,0.58757066,0.448059788,0.706311766,0.583415335,0.4,Ghoul
286,0.273458011,0.46323856,0.453515457,0.336390322,0,Goblin
287,0.339500814,0.336980742,0.49244101,0.345592011,0,Goblin
291,0.572493966,0.516334936,0.463062609,0.29100433,0,Ghost
293,0.505375254,0.327578066,0.650430525,0.528015336,0.8,Goblin
294,0.472059146,0.493985851,0.556691436,0.563720163,0.4,Ghoul
296,0.373305087,0.769033404,0.540549144,0.495465571,0,Ghost
299,0.411353232,0.49262125,0.437745322,0.276163123,0.8,Ghost
300,0.387729993,0.6595345,0.356107848,0.550967848,0.8,Goblin
301,0.44400926,0.416513188,0.718761673,0.508056548,0.4,Ghoul
